DIFFERENCE
97,328
94,327
94,328
94,329
95,326
95,327
95,328
95,329
95,330
96,325
96,326
96,327
96,328
97,325
97,326
97,327
98,325
98,326
98,327
99,326
99,327
100,327
100,328
100,329
99,330
99,333
100,330
100,331
100,332
100,333
101,328
101,329
101,330
101,331
101,332
102,329
102,330
102,331
99,332
99,334
99,335
100,334
100,335
101,333
101,334
102,332
102,333
98,335
99,336
99,337
99,338
100,336
100,337
101,335
101,336
98,338
98,340
98,341
99,339
99,340
99,341
100,338
100,339
100,340
101,337
101,338
101,339
98,339
99,342
100,341
101,340
98,342
99,343
99,344
99,345
100,342
100,343
100,344
101,341
101,342
101,343
98,345
98,346
98,347
98,348
99,346
99,347
99,348
100,345
100,346
100,347
101,344
101,345
101,346
97,348
98,349
98,350
98,351
99,349
99,350
100,348
100,349
97,351
98,352
98,353
98,354
99,351
99,352
99,353
100,350
100,351
100,352
97,354
98,355
98,356
98,357
99,354
99,355
99,356
100,353
100,354
100,355
97,357
98,358
98,359
98,360
99,357
99,358
99,359
100,356
100,357
100,358
97,360
97,362
97,363
98,361
98,362
98,363
99,360
99,361
99,362
100,359
100,360
100,361
97,361
97,364
98,364
99,363
100,362
96,364
97,365
97,366
97,367
98,365
98,366
99,364
99,365
96,367
98,367
98,368
98,369
99,366
99,367
99,368
97,370
98,370
98,371
98,372
98,373
99,369
99,370
99,371
99,372
100,369
100,370
100,371
97,373
98,374
98,375
98,376
99,373
99,374
99,375
100,372
100,373
100,374
97,376
98,377
98,378
98,379
99,376
99,377
99,378
100,375
100,376
100,377
97,379
98,380
98,381
98,382
99,379
99,380
99,381
100,378
100,379
100,380
97,382
98,383
98,384
98,385
99,382
99,383
99,384
100,381
100,382
100,383
97,385
98,386
98,387
98,388
99,385
99,386
99,387
100,384
100,385
100,386
97,388
98,389
98,390
98,391
99,388
99,389
99,390
100,387
100,388
100,389
97,391
98,392
98,393
98,394
99,391
99,392
99,393
100,390
100,391
100,392
97,394
97,397
98,395
98,396
98,397
99,394
99,395
99,396
100,393
100,394
100,395
97,396
97,398
97,399
98,398
98,399
99,397
